LATITUDE       	LONGITUDE
36.375         	6.375
36.125         	6.625
34.625         	3.125
33.875         	3.375
35.375         	2.375
34.375         	2.875
33.625         	6.125
33.875         	5.875
36.875         	8.375
36.625         	8.125
36.625         	7.875
36.875         	8.125
36.625         	8.375
36.875         	8.625
36.375         	8.125
36.375         	7.375
36.125         	7.125
36.375         	7.125
36.375         	7.625
36.375         	7.875
36.625         	5.875
36.625         	6.125
36.875         	6.125
36.625         	6.375
36.625         	5.625
35.375         	7.375
35.625         	7.125
35.375         	7.125
35.125         	6.625
35.625         	6.875
35.625         	4.625
35.625         	5.125
35.625         	4.375
35.375         	0.125
35.125         	0.125
35.375         	0.875
35.125         	-0.125
35.625         	-0.125
35.375         	-0.125
35.375         	-0.375
35.625         	0.125
35.375         	0.375
35.625         	0.375
35.125         	0.375
35.625         	-0.375
35.375         	0.625
35.875         	3.125
35.875         	2.625
36.125         	2.875
36.125         	3.375
36.125         	3.125
35.875         	2.875
36.375         	6.125
36.375         	5.875
36.125         	6.125
36.125         	6.375
35.875         	6.125
36.125         	0.625
35.875         	0.125
35.875         	0.375
36.125         	0.375
35.625         	-0.625
35.875         	7.125
35.875         	6.875
35.875         	6.625
35.625         	7.625
35.875         	7.375
35.875         	6.375
35.625         	7.375
35.875         	7.625
35.875         	0.875
35.625         	0.625
35.875         	0.625
35.625         	1.125
35.625         	0.875
34.625         	-0.125
34.875         	0.375
34.875         	0.125
34.625         	0.125
36.375         	5.625
36.125         	5.375
35.875         	5.375
36.125         	5.625
35.875         	5.625
36.125         	5.875
35.125         	-0.625
35.125         	-0.375
34.875         	-0.875
34.875         	-0.625
34.625         	-0.625
34.875         	-0.375
34.625         	-0.375
36.625         	7.125
36.875         	7.375
36.875         	6.875
36.875         	6.625
36.875         	7.125
36.625         	6.875
36.125         	7.375
36.125         	7.875
36.125         	8.125
36.375         	8.375
36.125         	7.625
35.625         	8.375
35.375         	8.375
35.375         	7.875
35.625         	8.125
35.375         	7.625
35.375         	8.125
35.625         	7.875
35.125         	8.125
35.375         	1.375
35.125         	0.875
34.875         	1.125
35.375         	1.625
34.875         	0.875
35.125         	1.125
35.375         	1.125
35.375         	1.875
35.125         	1.375
35.625         	1.375
35.125         	1.625
35.625         	1.625
35.125         	0.625
35.875         	2.125
36.625         	4.125
36.875         	4.375
36.875         	4.625
36.625         	4.375
36.875         	4.125
34.875         	-1.625
34.875         	-1.125
34.875         	-1.375
35.125         	-1.625
34.625         	-1.375
34.875         	-2.125
34.625         	-1.625
34.625         	-1.125
34.375         	-1.625
34.875         	-1.875
-7.875         	13.625
-8.625         	14.125
-9.375         	13.875
-9.625         	13.375
-8.125         	14.125
-13.625        	12.875
-12.625        	15.125
-12.625        	13.625
-12.125        	14.625
-13.375        	14.125
-12.625        	14.625
-12.125        	14.125
-11.625        	16.375
-12.125        	17.625
-12.375        	17.375
-12.375        	16.625
-12.875        	16.875
-11.625        	17.875
-12.125        	16.625
-12.875        	17.125
-11.375        	17.125
-4.625         	12.875
-5.125         	12.625
-5.375         	12.375
-4.875         	12.125
-16.875        	18.875
-16.625        	17.375
-14.375        	16.875
-14.875        	19.375
-17.375        	21.625
-15.375        	21.125
-15.125        	17.875
-16.125        	18.125
-16.125        	21.875
-8.125         	15.875
-8.875         	15.125
-8.625         	15.125
-8.625         	14.875
-9.375         	14.375
-9.125         	15.125
-8.375         	14.375
-9.125         	14.375
-8.875         	14.125
-8.375         	15.375
-8.625         	15.625
-10.875        	14.375
-12.125        	15.125
-11.125        	14.875
-11.125        	14.625
-10.125        	15.375
-10.625        	16.125
-10.625        	14.125
-10.625        	15.375
-10.625        	14.375
-11.375        	14.875
-11.875        	14.125
-11.125        	15.375
-16.125        	13.875
-16.375        	17.125
-16.375        	13.625
-15.375        	16.625
-17.375        	15.375
-12.125        	15.625
-13.375        	15.625
-13.125        	16.375
-12.375        	15.625
-13.125        	15.875
-13.375        	15.125
-11.875        	16.625
-13.125        	14.875
-13.125        	15.125
-13.875        	14.875
-13.875        	14.625
-14.875        	14.125
-13.875        	15.125
-14.375        	15.625
-15.875        	13.875
-14.875        	13.375
-15.125        	15.875
-13.625        	16.375
-14.375        	14.375
-14.625        	15.125
-13.875        	14.125
-14.625        	14.375
-8.875         	13.375
-9.125         	13.125
-7.625         	21.875
-9.875         	18.625
-7.875         	18.625
-7.125         	20.125
-8.125         	17.875
-7.375         	19.625
-9.625         	19.625
-8.625         	20.875
-8.375         	17.625
-10.125        	19.375
-10.625        	20.375
-10.375        	22.125
-8.625         	21.625
-9.875         	15.375
-8.375         	15.875
-10.125        	17.375
-10.125        	16.875
-8.875         	16.875
-8.875         	16.625
-8.375         	17.375
-10.875        	17.375
-9.625         	16.625
-8.125         	16.875
-7.875         	16.875
-9.375         	16.875
-9.375         	17.125
-10.625        	17.875
-11.375        	23.875
-11.625        	20.125
-11.625        	21.375
-11.875        	20.625
-10.875        	21.875
-11.375        	22.375
-14.875        	20.625
-14.375        	21.875
-12.125        	20.625
-14.375        	13.375
-13.875        	12.625
-14.625        	12.625
-16.625        	12.875
-16.125        	13.375
-7.375         	14.375
-6.625         	14.625
-6.375         	15.875
-7.375         	15.125
-6.375         	15.375
-5.875         	16.125
-7.125         	16.875
-7.125         	15.125
-7.875         	15.375
-7.625         	15.625
-6.125         	16.625
-8.375         	14.875
-7.375         	16.625
-7.375         	14.875
-7.625         	15.125
-6.125         	14.375
-5.875         	14.375
-6.875         	13.375
-5.875         	13.125
-6.875         	13.125
-34.875        	-62.125
-35.375        	-61.875
-33.875        	-61.125
-34.125        	-61.125
-34.875        	-61.875
-34.875        	-61.125
-34.375        	-62.375
-34.375        	-61.125
-34.375        	-61.375
-34.875        	-61.625
-34.125        	-60.625
-35.375        	-63.125
-34.125        	-60.875
-27.875        	-65.875
-27.625        	-65.875
-27.875        	-66.875
-28.625        	-66.125
-28.375        	-65.625
-28.125        	-65.875
-29.375        	-65.375
-28.125        	-65.625
-28.375        	-66.125
-26.625        	-66.375
-27.875        	-65.375
-28.125        	-67.125
-28.625        	-65.875
-26.625        	-61.625
-27.125        	-58.625
-26.875        	-61.625
-26.875        	-60.625
-27.375        	-61.375
-27.625        	-61.375
-26.875        	-61.375
-27.125        	-59.625
-25.375        	-60.375
-26.875        	-60.875
-27.375        	-59.125
-25.625        	-60.125
-26.375        	-60.375
-27.125        	-60.875
-26.875        	-59.875
-26.875        	-58.875
-26.625        	-60.125
-27.625        	-59.125
-26.875        	-59.625
-26.875        	-60.125
-32.625        	-64.625
-31.375        	-64.375
-31.375        	-64.125
-30.125        	-65.375
-34.875        	-63.375
-33.125        	-63.375
-30.125        	-64.875
-32.875        	-63.875
-32.875        	-62.375
-31.125        	-65.125
-31.375        	-65.125
-33.875        	-62.875
-32.875        	-64.125
-31.625        	-63.875
-31.625        	-63.375
-31.875        	-65.125
-31.875        	-63.125
-31.875        	-63.875
-30.125        	-64.125
-32.625        	-63.875
-30.625        	-64.125
-29.875        	-64.875
-32.875        	-63.125
-28.625        	-59.125
-27.375        	-57.625
-27.625        	-58.875
-28.625        	-58.125
-30.375        	-58.125
-28.125        	-58.875
-30.375        	-59.125
-29.125        	-56.625
-27.625        	-57.625
-29.125        	-59.125
-27.625        	-57.125
-29.125        	-58.625
-27.875        	-57.875
-28.875        	-57.625
-29.625        	-56.875
-28.375        	-58.625
-27.375        	-58.625
-27.875        	-58.125
-29.375        	-56.625
-27.875        	-57.375
-28.625        	-58.875
-28.125        	-55.875
-32.125        	-58.625
-31.125        	-58.375
-30.625        	-58.125
-30.375        	-58.875
-32.625        	-58.625
-33.375        	-58.625
-32.125        	-59.125
-32.125        	-58.875
-24.625        	-60.875
-26.125        	-58.125
-26.625        	-58.375
-24.875        	-60.625
-25.125        	-58.875
-25.375        	-57.625
-25.625        	-58.625
-24.125        	-65.375
-24.375        	-65.125
-23.625        	-64.375
-24.375        	-65.375
-24.375        	-64.875
-24.375        	-64.625
-23.875        	-65.125
-23.875        	-65.625
-35.125        	-63.625
-28.875        	-66.375
-29.625        	-68.875
-30.625        	-65.625
-28.125        	-69.375
-35.125        	-67.625
-32.875        	-68.875
-32.875        	-68.625
-33.125        	-68.625
-34.125        	-67.375
-32.625        	-70.125
-32.875        	-68.375
-34.625        	-70.125
-33.625        	-68.875
-33.625        	-69.125
-33.125        	-68.375
-34.375        	-69.875
-33.625        	-69.375
-33.375        	-69.125
-27.625        	-55.625
-27.125        	-54.875
-27.375        	-55.375
-27.375        	-55.875
-27.875        	-55.375
-26.375        	-54.625
-26.125        	-53.875
-26.875        	-54.375
-26.125        	-54.375
-27.625        	-55.375
-26.875        	-55.125
-26.625        	-54.375
-27.375        	-55.125
-27.125        	-55.375
-27.875        	-55.125
-26.625        	-54.125
-27.375        	-54.625
-38.125        	-71.125
-36.625        	-71.125
-37.875        	-71.125
-38.375        	-70.875
-24.625        	-64.125
-25.125        	-66.375
-26.125        	-65.625
-24.875        	-65.125
-25.125        	-65.375
-24.625        	-64.875
-22.125        	-63.625
-25.375        	-65.375
-23.125        	-64.875
-24.625        	-65.125
-26.125        	-65.125
-24.875        	-66.125
-25.125        	-65.625
-25.375        	-64.875
-25.375        	-66.125
-25.125        	-63.125
-25.625        	-64.875
-24.875        	-65.625
-31.375        	-68.625
-31.375        	-68.375
-32.125        	-70.375
-31.625        	-68.375
-29.875        	-69.625
-29.875        	-69.125
-31.625        	-68.625
-31.875        	-68.375
-30.625        	-69.125
-32.375        	-65.125
-34.375        	-66.625
-32.625        	-61.875
-33.125        	-61.375
-33.375        	-61.375
-33.625        	-61.875
-28.375        	-59.125
-32.875        	-61.625
-28.625        	-61.875
-33.375        	-60.875
-29.625        	-59.625
-32.375        	-61.375
-32.875        	-61.125
-32.375        	-61.875
-26.625        	-61.875
-27.125        	-64.375
-28.125        	-64.625
-29.375        	-64.875
