LATITUDE       	LONGITUDE
39.442         	-75.808
38.442         	-76.892
38.608         	-75.892
39.525         	-77.225
39.358         	-79.392
39.608         	-76.558
39.275         	-77.058
39.192         	-76.142
39.192         	-77.142
38.692         	-76.725
38.942         	-76.142
38.358         	-76.725
38.108         	-75.725
38.775         	-76.058
39.525         	-77.725
38.358         	-75.392
38.358         	-75.225
44.608         	-83.392
44.942         	-83.642
43.942         	-84.058
43.775         	-84.058
41.942         	-84.892
42.108         	-84.808
43.025         	-84.725
45.692         	-87.308
42.525         	-85.058
43.192         	-83.642
44.025         	-84.475
43.192         	-84.558
43.942         	-82.975
42.858         	-85.058
43.525         	-84.725
42.192         	-85.392
43.275         	-85.392
43.942         	-83.892
45.858         	-86.975
43.275         	-83.225
41.942         	-83.808
42.858         	-83.058
44.442         	-86.225
43.525         	-85.225
45.525         	-87.308
43.525         	-84.225
41.858         	-83.558
43.192         	-84.892
45.108         	-83.975
43.275         	-85.808
43.525         	-85.975
42.858         	-83.142
45.275         	-83.725
43.442         	-83.808
43.108         	-82.975
43.608         	-82.725
43.108         	-84.308
43.608         	-83.308
47.108         	-96.058
45.775         	-94.142
45.525         	-96.642
46.775         	-94.725
44.858         	-95.642
46.775         	-96.808
46.192         	-94.392
45.775         	-95.725
45.775         	-96.225
46.858         	-95.142
44.942         	-95.058
48.608         	-97.142
45.192         	-96.225
44.608         	-96.142
44.608         	-95.642
47.358         	-95.975
48.192         	-96.725
44.692         	-94.475
44.942         	-94.725
45.858         	-94.142
44.442         	-94.058
47.192         	-96.642
44.025         	-92.142
46.108         	-96.225
48.108         	-96.142
47.525         	-96.808
45.442         	-95.725
47.942         	-96.392
44.608         	-95.225
44.858         	-95.142
44.608         	-93.808
45.525         	-94.058
44.608         	-94.558
45.442         	-94.808
45.442         	-95.975
45.275         	-95.892
45.775         	-95.142
45.775         	-96.308
46.775         	-94.975
46.608         	-96.642
45.358         	-93.975
44.775         	-95.558
40.442         	-91.558
46.025         	-107.475
